experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,basis_dim,basis_offset,search_round,arch_pattern,wavelet_family,n_stacks_requested,meta_predicted_best,meta_convergence_score
search_r1,DB3_homog_s10_d8_o0,search_round1,['DB3WaveletV3'],Yearly,1,6,30,10,1,True,0,42,65.863815,18.607570,3543.652588,28748074.000000,4.356334,4.361141,55.534344,8110080,9.01,2,False,False,ReLU,MAX_EPOCHS,65.25528717,68.47918701,63.67747879,0,1.049404,False,"[""65.25528717"", ""68.47918701""]",8,0,1,homogeneous,DB3WaveletV3,10,,
search_r1,DB3_homog_s10_d16_o0,search_round1,['DB3WaveletV3'],Yearly,1,6,30,10,1,True,0,42,59.181522,14.272890,2822.018311,19978590.000000,3.606503,3.379244,33.747173,8151040,8.85,2,False,False,ReLU,MAX_EPOCHS,60.57782745,60.57782745,61.08312607,1,1.000000,False,"[""74.95191193"", ""60.57782745""]",16,0,1,homogeneous,DB3WaveletV3,10,,
search_r1,DB3_homog_s20_d4_o0,search_round1,['DB3WaveletV3'],Yearly,1,6,30,20,1,True,0,42,125.839851,29.804673,5505.221680,59555608.000000,7.600156,6.073060,95.586868,16158720,16.06,2,False,False,ReLU,MAX_EPOCHS,126.77400970,126.77400970,135.69070435,1,1.000000,False,"[""142.93914795"", ""126.77400970""]",4,0,1,homogeneous,DB3WaveletV3,20,,
search_r1,DB3_homog_s20_d8_o0,search_round1,['DB3WaveletV3'],Yearly,1,6,30,20,1,True,0,42,65.321579,17.720772,3477.828125,30581786.000000,4.228169,3.762332,48.023159,16220160,16.52,2,False,False,ReLU,MAX_EPOCHS,66.40373230,75.77519226,64.94289398,0,1.141129,False,"[""66.40373230"", ""75.77519226""]",8,0,1,homogeneous,DB3WaveletV3,20,,
search_r1,DB3_homog_s20_d16_o0,search_round1,['DB3WaveletV3'],Yearly,1,6,30,20,1,True,0,42,28.394070,8.504351,1756.162842,7993901.000000,1.938744,1.912166,10.981709,16302080,16.76,2,False,False,ReLU,MAX_EPOCHS,29.55045700,29.55045700,38.08106232,1,1.000000,False,"[""36.32051468"", ""29.55045700""]",16,0,1,homogeneous,DB3WaveletV3,20,,
search_r1,DB3_homog_s30_d4_o0,search_round1,['DB3WaveletV3'],Yearly,1,6,30,30,1,True,0,42,103.689407,33.718597,6283.516113,87480400.000000,7.414883,7.289815,168.033585,24238080,24.79,2,False,False,ReLU,MAX_EPOCHS,102.89281464,102.89281464,107.46946716,1,1.000000,False,"[""123.08888245"", ""102.89281464""]",4,0,1,homogeneous,DB3WaveletV3,30,,
search_r1,DB3_homog_s30_d8_o0,search_round1,['DB3WaveletV3'],Yearly,1,6,30,30,1,True,0,42,57.599754,13.796496,2748.286133,20776882.000000,3.498168,3.134545,31.126383,24330240,26.78,2,False,False,ReLU,MAX_EPOCHS,59.42935944,59.42935944,56.66957092,1,1.000000,False,"[""83.00753784"", ""59.42935944""]",8,0,1,homogeneous,DB3WaveletV3,30,,
search_r1,DB3_homog_s30_d16_o0,search_round1,['DB3WaveletV3'],Yearly,1,6,30,30,1,True,0,42,55.076038,17.638053,3368.980713,24828204.000000,3.904288,3.592554,37.983379,24453120,26.08,2,False,False,ReLU,MAX_EPOCHS,54.19174576,54.19174576,66.13672638,1,1.000000,False,"[""64.07564545"", ""54.19174576""]",16,0,1,homogeneous,DB3WaveletV3,30,,
search_r1,DB3_trmix_s10_d4_o0,search_round1,"['Trend', 'DB3WaveletV3']",Yearly,1,6,30,10,1,True,0,42,27.337349,8.032413,1664.453247,7661566.000000,1.847035,2.155734,17.004974,5072665,7.39,2,False,False,ReLU,MAX_EPOCHS,26.79665756,26.79665756,23.00120544,1,1.000000,False,"[""35.20249176"", ""26.79665756""]",4,0,1,trend_mixed,DB3WaveletV3,10,,
search_r1,DB3_trmix_s10_d8_o0,search_round1,"['Trend', 'DB3WaveletV3']",Yearly,1,6,30,10,1,True,0,42,24.682167,6.669918,1456.967651,6139453.000000,1.594370,1.610057,7.576578,5088025,7.14,2,False,False,ReLU,MAX_EPOCHS,25.84107971,25.84107971,20.59442139,1,1.000000,False,"[""35.78211212"", ""25.84107971""]",8,0,1,trend_mixed,DB3WaveletV3,10,,
