model_type,config_name,dataset,horizon,backcast_length,n_stacks,n_blocks_per_stack,run,seed,mse,mae,denorm_mse,denorm_mae,smape,n_params,training_time_seconds,epochs_trained,stopping_reason,best_val_loss,loss_function,active_g,normalize,train_ratio,val_ratio,include_target,stack_types,n_pools_kernel_size,n_freq_downsample
NHiTSNet,Pool-2x2x1_Freq-24x12x1,weather,192,960,3,1,0,1,0.274617,0.309094,4298.811523,17.132498,73.996017,4442112,1360.5,51,EARLY_STOPPED,0.56374872,MSELoss,False,True,0.7,0.1,True,['Generic'],"[2, 2, 1]","[24, 12, 1]"
NHiTSNet,Pool-2x2x1_Freq-1x1x1,weather,192,960,3,1,0,1,0.271783,0.313169,3732.367188,17.220209,78.048271,4626432,672.34,26,EARLY_STOPPED,0.56191278,MSELoss,False,True,0.7,0.1,True,['Generic'],"[2, 2, 1]","[1, 1, 1]"
NHiTSNet,Pool-2x2x1_Freq-1x1x1,weather,192,960,3,1,1,2,0.268446,0.307368,3810.737305,17.231613,76.790474,4626432,690.45,26,EARLY_STOPPED,0.55835414,MSELoss,False,True,0.7,0.1,True,['Generic'],"[2, 2, 1]","[1, 1, 1]"
NHiTSNet,Pool-4x2x1_Freq-168x24x1,weather,336,1680,3,1,0,1,0.322312,0.350329,5543.80957,20.793789,83.138153,5556224,1033.67,39,EARLY_STOPPED,0.49375004,MSELoss,False,True,0.7,0.1,True,['Generic'],"[4, 2, 1]","[168, 24, 1]"
NHiTSNet,Pool-4x2x1_Freq-24x12x1,weather,336,1680,3,1,0,1,0.322351,0.356005,5338.04834,21.752247,87.766228,5569536,695.23,26,EARLY_STOPPED,0.49867156,MSELoss,False,True,0.7,0.1,True,['Generic'],"[4, 2, 1]","[24, 12, 1]"
NHiTSNet,Pool-4x2x1_Freq-168x24x1,weather,336,1680,3,1,1,2,0.355564,0.359692,8152.272461,21.313402,83.407898,5556224,1273.25,47,EARLY_STOPPED,0.49989042,MSELoss,False,True,0.7,0.1,True,['Generic'],"[4, 2, 1]","[168, 24, 1]"
NHiTSNet,Pool-4x2x1_Freq-24x12x1,weather,336,1680,3,1,1,2,0.324108,0.357031,5111.246094,20.486092,86.371292,5569536,701.39,26,EARLY_STOPPED,0.48916987,MSELoss,False,True,0.7,0.1,True,['Generic'],"[4, 2, 1]","[24, 12, 1]"
NHiTSNet,Pool-4x2x1_Freq-1x1x1,weather,336,1680,3,1,0,1,0.325885,0.355888,4663.193848,20.450535,86.227348,5892096,690.9,26,EARLY_STOPPED,0.49427429,MSELoss,False,True,0.7,0.1,True,['Generic'],"[4, 2, 1]","[1, 1, 1]"
NHiTSNet,Pool-4x2x1_Freq-1x1x1,weather,336,1680,3,1,1,2,0.330264,0.360963,5043.914062,20.519953,85.796425,5892096,684.4,26,EARLY_STOPPED,0.49963021,MSELoss,False,True,0.7,0.1,True,['Generic'],"[4, 2, 1]","[1, 1, 1]"
NHiTSNet,Pool-2x2x1_Freq-168x24x1,weather,336,1680,3,1,0,1,0.331136,0.358028,5311.574707,22.038523,85.509964,5986304,722.17,27,EARLY_STOPPED,0.50573546,MSELoss,False,True,0.7,0.1,True,['Generic'],"[2, 2, 1]","[168, 24, 1]"
